Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
8857,Gladius,gladius,Strategy,T,PS2,LucasArts,LucasArts,,,,0.0,0.2,0.1,0.08,,0.03,2003.0,,http://www.vgchartz.com/game/5155/gladius/?region=All,1,,/games/boxart/9935311ccc.jpg,0.2
8858,CSI: Unsolved!,csi-unsolved,Adventure,T,DS,Ubisoft,Other Ocean Interactive,,,,0.0,0.2,0.13,0.05,,0.02,2010.0,,http://www.vgchartz.com/game/46730/csi-unsolved/?region=All,1,,/games/boxart/full_csi-crime-scene-investigation-unsolved_0AmericaFront.jpg,0.2
8859,Skylanders: SuperChargers Racing,skylanders-superchargers-racing,Action-Adventure,E10,3DS,Activision,Beenox,,,,0.0,0.2,0.11,0.07,,0.02,2015.0,06th Apr 18,http://www.vgchartz.com/game/85605/skylanders-superchargers-racing/?region=All,1,,/games/boxart/full_31320AmericaFrontccc.jpg,0.2
8860,Untold Legends: Dark Kingdom,untold-legends-dark-kingdom,Role-Playing,T,PS3,Sony Online Entertainment,Sony Online Entertainment,,,,0.0,0.2,0.14,0.02,0.02,0.02,2006.0,16th Sep 18,http://www.vgchartz.com/game/2579/untold-legends-dark-kingdom/?region=All,1,,/games/boxart/6347232ccc.jpg,0.2
8861,Dave Mirra Freestyle BMX 2,dave-mirra-freestyle-bmx-2,Sports,T,XB,Acclaim Entertainment,"Z-Axis, Ltd.",,,,0.0,0.2,0.15,0.04,,0.01,2001.0,,http://www.vgchartz.com/game/5002/dave-mirra-freestyle-bmx-2/?region=All,1,,/games/boxart/1262425ccc.jpg,0.2
8862,Dante's Inferno,dantes-inferno,Action,M,PSP,Electronic Arts,Visceral Games,,6.6,,0.0,0.2,0.12,0.04,0.01,0.02,2010.0,,http://www.vgchartz.com/game/33704/dantes-inferno/?region=All,1,7.0,/games/boxart/full_3687857AmericaFrontccc.jpg,0.2
8863,Soldier of Fortune: Payback,soldier-of-fortune-payback,Shooter,M,X360,Activision,Cauldron Ltd.,,,,0.0,0.2,0.18,0.0,,0.02,2007.0,,http://www.vgchartz.com/game/12772/soldier-of-fortune-payback/?region=All,1,,/games/boxart/5272542ccc.jpg,0.2
8864,Arcana Heart 3,arcana-heart-3,Fighting,,PS3,Aksys Games,Examu Inc.,,7.0,,0.0,0.2,0.04,0.05,0.1,0.02,2014.0,,http://www.vgchartz.com/game/46249/arcana-heart-3/?region=All,1,,/games/boxart/full_arcana-heart-3_282PALFront.jpg,0.2
8865,Avorion,avorion,Sandbox,,PC,Unknown,Boxelware,,,,0.2,0.0,,,,,2014.0,27th Feb 19,http://www.vgchartz.com/game/223742/avorion/?region=All,1,,/games/boxart/full_1888755AmericaFrontccc.jpg,0.2
8866,Pro Yakyuu Spirits 2012,pro-yakyuu-spirits-2012,Sports,,PSP,Konami Digital Entertainment,Konami,,,,0.0,0.2,,,0.2,,2012.0,03rd Nov 18,http://www.vgchartz.com/game/70644/pro-yakyuu-spirits-2012/?region=All,1,,/games/boxart/full_4361008JapanFrontccc.jpg,0.2
8867,SpongeBob SquarePants: Revenge of the Flying Dutchman,spongebob-squarepants-revenge-of-the-flying-dutchman,Platform,E,GC,THQ,Big Sky Software,,,,0.0,0.2,0.15,0.04,,0.01,2002.0,,http://www.vgchartz.com/game/2159/spongebob-squarepants-revenge-of-the-flying-dutchman/?region=All,1,,/games/boxart/9981427ccc.jpg,0.2
8868,The Walking Dead: Michonne,the-walking-dead-michonne,Adventure,,PC,Telltale Games,Telltale Games,,,,0.2,0.0,,,,,2016.0,,http://www.vgchartz.com/game/86246/the-walking-dead-michonne/?region=All,1,,/games/boxart/full_1829590AmericaFrontccc.jpeg,0.2
8869,Nanoborg,nanoborg,Action,,PC,Unknown,Nanooborg,,,,0.2,0.0,,,,,2016.0,27th Feb 19,http://www.vgchartz.com/game/223743/nanoborg/?region=All,1,,/games/boxart/full_3230415AmericaFrontccc.jpg,0.2
8870,Afro Samurai,afro-samurai,Action,M,PS3,Namco Bandai,Namco Bandai Games,,6.5,,0.0,0.2,0.12,0.05,,0.03,2009.0,,http://www.vgchartz.com/game/17062/afro-samurai/?region=All,1,5.7,/games/boxart/full_368807AmericaFrontccc.jpg,0.2
8871,Taiko no Tatsujin: Go! Go! Godaime,taiko-no-tatsujin-go-go-godaime,Misc,,PS2,Namco,Namco,,,,0.0,0.2,,,0.2,,2004.0,,http://www.vgchartz.com/game/4497/taiko-no-tatsujin-go-go-godaime/?region=All,1,,/games/boxart/full_3218034JapanFrontccc.jpg,0.2
8872,Taiko Drum Master,taiko-drum-master,Misc,E,PS2,Namco,Namco,,8.1,,0.0,0.2,0.1,0.08,,0.03,2004.0,,http://www.vgchartz.com/game/29894/taiko-drum-master/?region=All,1,,/games/boxart/full_6243526AmericaFrontccc.jpg,0.2
8873,Bust-A-Move 2 Arcade Edition,bust-a-move-2-arcade-edition,Puzzle,E,PS,Acclaim Entertainment,Taito Corporation,,6.9,,0.0,0.2,0.11,0.07,,0.01,1996.0,,http://www.vgchartz.com/game/13752/bust-a-move-2-arcade-edition/?region=All,1,,/games/boxart/full_9827174AmericaFrontccc.jpg,0.2
8874,Bleach: The 3rd Phantom,bleach-the-3rd-phantom,Role-Playing,T,DS,Sega,Sega,,,,0.0,0.2,0.1,0.02,0.07,0.01,2009.0,,http://www.vgchartz.com/game/14589/bleach-the-3rd-phantom/?region=All,1,,/games/boxart/full_1208875AmericaFrontccc.jpg,0.2
8875,Solatorobo: Red the Hunter,solatorobo-red-the-hunter,Role-Playing,E10,DS,Xseed Games,CyberConnect2,,7.6,,0.0,0.2,0.08,0.04,0.07,0.01,2011.0,,http://www.vgchartz.com/game/44138/solatorobo-red-the-hunter/?region=All,1,,/games/boxart/full_solatorobo-red-the-hunter_397AmericaFront.jpg,0.2
8876,Tetris Worlds (Online Edition),tetris-worlds-online-edition,Puzzle,E,XB,THQ,Radical Entertainment,,,,0.0,0.2,0.15,0.04,,0.01,2003.0,,http://www.vgchartz.com/game/2373/tetris-worlds-online-edition/?region=All,1,,/games/boxart/6678627ccc.jpg,0.2
8877,Forgotten Realms: Demon Stone,forgotten-realms-demon-stone,Action,T,PS2,Atari,Stormfront Studios,,,,0.0,0.2,0.1,0.08,,0.03,2004.0,,http://www.vgchartz.com/game/5126/forgotten-realms-demon-stone/?region=All,1,,/games/boxart/7723829ccc.jpg,0.2
8878,Super Baseball Simulator 1.000,super-baseball-simulator-1000,Sports,,SNES,Culture Brain,Culture Brain,,,,0.0,0.2,,,0.2,0.0,1991.0,,http://www.vgchartz.com/game/4485/super-baseball-simulator-1000/?region=All,1,,/games/boxart/359100ccc.jpg,0.2
8879,Battleborn,battleborn,Shooter,,PC,2K Games,Gearbox Software,,,,0.0,0.2,0.12,0.06,,0.02,2016.0,,http://www.vgchartz.com/game/83647/battleborn/?region=All,1,,/games/boxart/full_8442658AmericaFrontccc.png,0.2
8880,Looney Tunes: Space Race,looney-tunes-space-race,Racing,E,PS2,Infogrames,Infogrames Melbourne,,,,0.0,0.2,0.1,0.08,,0.03,2002.0,,http://www.vgchartz.com/game/28843/looney-tunes-space-race/?region=All,1,,/games/boxart/full_721180AmericaFrontccc.jpg,0.2
8881,Just Dance 2: Extra Songs,just-dance-2-extra-songs,Misc,,Wii,Ubisoft,Ubisoft Paris,,,,0.0,0.2,,0.17,,0.03,2011.0,,http://www.vgchartz.com/game/52327/just-dance-2-extra-songs/?region=All,1,,/games/boxart/full_just-dance-2-extra-songs_935PALFront.jpg,0.2
8882,Puzzle Challenge: Crosswords and More!,puzzle-challenge-crosswords-and-more,Puzzle,E,PSP,Crave Entertainment,Supersonic Software,,6.4,,0.0,0.2,0.18,,,0.01,2006.0,,http://www.vgchartz.com/game/5605/puzzle-challenge-crosswords-and-more/?region=All,1,,/games/boxart/1520949ccc.jpg,0.2
8883,Mahjongg Mysteries: Ancient Egypt,mahjongg-mysteries-ancient-egypt,Puzzle,E,DS,Destineer,LvivMedia,,,,0.0,0.2,0.07,0.11,,0.02,2010.0,,http://www.vgchartz.com/game/45565/mahjongg-mysteries-ancient-egypt/?region=All,1,,/games/boxart/full_mahjongg-mysteries-ancient-egypt_0AmericaFront.jpg,0.2
8884,Backyard Hockey,backyard-hockey,Sports,E,GBA,Atari,Mistic Software,,6.0,,0.0,0.2,0.14,0.05,,0.0,2003.0,,http://www.vgchartz.com/game/23906/backyard-hockey/?region=All,1,,/games/boxart/7534066ccc.jpg,0.2
8885,Rock Band Track Pack Volume 2,rock-band-track-pack-volume-2,Misc,T,X360,MTV Games,Harmonix Music Systems,,,,0.0,0.2,0.18,0.01,,0.02,2008.0,,http://www.vgchartz.com/game/28327/rock-band-track-pack-volume-2/?region=All,1,,/games/boxart/full_667304AmericaFrontccc.jpg,0.2
