Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url,Global_Total
3828,Fight Night Round 2,fight-night-round-2,Fighting,T,XB,EA Sports,EA Sports,,,,0.0,0.6,0.42,0.16,,0.02,2005.0,,http://www.vgchartz.com/game/740/fight-night-round-2/?region=All,1,,/games/boxart/3012058ccc.jpg,0.6
3829,MonHun Nikki: Poka Poka Ailu Mura,monhun-nikki-poka-poka-ailu-mura,Role-Playing,,PSP,Capcom,From Software,,,,0.0,0.6,,,0.6,,2010.0,,http://www.vgchartz.com/game/40307/monhun-nikki-poka-poka-ailu-mura/?region=All,1,,/games/boxart/full_monhun-nikki-poka-poka-ailu-mura_1JapanFront.jpg,0.6
3830,NBA 2K8,nba-2k8,Sports,E,PS2,2K Sports,Visual Concepts,,,,0.0,0.6,0.5,0.02,,0.08,2007.0,,http://www.vgchartz.com/game/7574/nba-2k8/?region=All,1,,/games/boxart/1859794ccc.jpg,0.6
3831,Okami,okami,Adventure,T,Wii,Capcom,Ready at Dawn Studios,,9.0,9.6,0.0,0.6,0.43,0.09,0.04,0.05,2008.0,,http://www.vgchartz.com/game/7666/okami/?region=All,1,,/games/boxart/full_1132316AmericaFrontccc.jpg,0.6
3832,NBA 2K7,nba-2k7,Sports,E,X360,2K Sports,Visual Concepts,,8.4,,0.0,0.6,0.55,0.0,,0.05,2006.0,,http://www.vgchartz.com/game/5439/nba-2k7/?region=All,1,,/games/boxart/2589239ccc.jpg,0.6
3833,Beat Hazard,beat-hazard,Shooter,,PC,Cold Beam Games,ShadowRage,,,,0.6,0.0,,,,,2010.0,,http://www.vgchartz.com/game/44690/beat-hazard/?region=All,1,,/games/boxart/full_63619AmericaFrontccc.jpg,0.6
3834,Suikoden,suikoden,Role-Playing,E,PS,Konami,Konami,,8.2,8.0,0.0,0.6,0.21,0.14,0.21,0.04,1996.0,,http://www.vgchartz.com/game/2262/suikoden/?region=All,1,,/games/boxart/5687529ccc.jpg,0.6
3835,Muramasa: The Demon Blade,muramasa-the-demon-blade,Role-Playing,T,Wii,Ignition Entertainment,Vanillaware,,8.0,9.3,0.0,0.6,0.32,0.13,0.11,0.04,2009.0,10th Jan 19,http://www.vgchartz.com/game/33609/muramasa-the-demon-blade/?region=All,1,8.6,/games/boxart/full_6205598AmericaFrontccc.jpg,0.6
3836,L.A. Noire,la-noire,Adventure,M,PS4,Rockstar Games,Team Bondi,,,,0.0,0.6,0.18,0.32,,0.1,2017.0,19th Jun 18,http://www.vgchartz.com/game/202279/la-noire/?region=All,1,,/games/boxart/full_6235034AmericaFrontccc.jpg,0.6
3837,Fighters Uncaged,fighters-uncaged,Fighting,T,X360,Ubisoft,AMA Studios,,3.2,,0.0,0.6,0.31,0.23,,0.06,2010.0,,http://www.vgchartz.com/game/46845/fighters-uncaged/?region=All,1,,/games/boxart/full_fighters-uncaged_5AmericaFront.jpg,0.6
3838,Secret Agent Clank,secret-agent-clank,Platform,E10,PS2,Sony Computer Entertainment,Sanzaru Games,,7.0,,0.0,0.6,0.13,0.18,,0.29,2009.0,,http://www.vgchartz.com/game/32732/secret-agent-clank/?region=All,1,,/games/boxart/full_1447043AmericaFrontccc.jpg,0.6
3839,Rayman Arena,rayman-arena,Racing,E,PS2,Ubisoft,Ubisoft,,6.7,,0.0,0.6,0.29,0.23,,0.08,2002.0,,http://www.vgchartz.com/game/5616/rayman-arena/?region=All,1,,/games/boxart/1220438ccc.jpg,0.6
3840,Wolfenstein: The Old Blood,wolfenstein-the-old-blood,Shooter,,PC,Bethesda Softworks,MachineGames,,,,0.6,0.0,,,,,2015.0,21st Apr 18,http://www.vgchartz.com/game/85461/wolfenstein-the-old-blood/?region=All,1,,/games/boxart/full_2622177AmericaFrontccc.jpg,0.6
3841,Call of Juarez: Bound in Blood,call-of-juarez-bound-in-blood,Shooter,M,X360,Ubisoft,Techland,,7.6,,0.0,0.6,0.3,0.24,0.0,0.06,2009.0,,http://www.vgchartz.com/game/30701/call-of-juarez-bound-in-blood/?region=All,1,8.0,/games/boxart/full_3344562AmericaFrontccc.jpg,0.6
3842,Jaws Unleashed,jaws-unleashed,Action,M,PS2,Majesco,Appaloosa Interactive,,,,0.0,0.6,0.5,0.02,,0.08,2006.0,,http://www.vgchartz.com/game/5223/jaws-unleashed/?region=All,1,,/games/boxart/full_8993831AmericaFrontccc.jpg,0.6
3843,Puyo Puyo Sun,puyo-puyo-sun,Puzzle,,SAT,Compile,Compile,,,,0.0,0.6,,,0.6,,1997.0,,http://www.vgchartz.com/game/4126/puyo-puyo-sun/?region=All,1,,/games/boxart/full_7735084JapanFrontccc.jpg,0.6
3844,Half-Life,half-life,Shooter,M,PS2,Sierra Entertainment,Gearbox Software,,8.4,,0.0,0.6,0.29,0.23,,0.08,2001.0,,http://www.vgchartz.com/game/20383/half-life/?region=All,1,,/games/boxart/6054300ccc.gif,0.6
3845,The Golden Compass,the-golden-compass,Adventure,E10,DS,Sega,Shiny Entertainment,,,,0.0,0.6,0.28,0.25,,0.06,2007.0,,http://www.vgchartz.com/game/13182/the-golden-compass/?region=All,1,,/games/boxart/5104760ccc.jpg,0.6
3846,The Golden Compass,the-golden-compass,Adventure,E10,Wii,Sega,Shiny Entertainment,,,,0.0,0.6,0.26,0.28,,0.07,2007.0,,http://www.vgchartz.com/game/13186/the-golden-compass/?region=All,1,,/games/boxart/3281980ccc.jpg,0.6
3847,Overcooked,overcooked,Action,,PC,Unknown,Ghost Town Games,,,,0.6,0.0,,,,,2007.0,08th Feb 19,http://www.vgchartz.com/game/223443/overcooked/?region=All,1,,/games/boxart/full_4817034AmericaFrontccc.jpg,0.6
3848,Split/Second,split,Racing,E10,X360,Disney Interactive Studios,Black Rock Studio,,8.4,,0.0,0.6,0.32,0.23,,0.06,2010.0,,http://www.vgchartz.com/game/32537/splitsecond/?region=All,1,,/games/boxart/full_9678480AmericaFrontccc.jpg,0.6
3849,International Superstar Soccer '98,international-superstar-soccer-98,Action,E,N64,Konami,Konami,,,,0.0,0.6,0.06,0.3,0.21,0.03,1998.0,24th Sep 18,http://www.vgchartz.com/game/49825/international-superstar-soccer-98/?region=All,1,,/games/boxart/full_international-superstar-soccer-98-us-sales_241AmericaFront.jpg,0.6
3850,International Superstar Soccer 64,international-superstar-soccer-64,Sports,E,N64,Konami,Konami Computer Entertainment Osaka,,,,0.0,0.6,0.09,0.26,0.23,0.02,1997.0,,http://www.vgchartz.com/game/1033/international-superstar-soccer-64/?region=All,1,,/games/boxart/full_8537910AmericaFrontccc.jpg,0.6
3851,Mickey's Speedway USA,mickeys-speedway-usa,Racing,E,N64,Nintendo,Rare Ltd.,,,,0.0,0.6,0.37,0.08,0.14,0.01,2000.0,,http://www.vgchartz.com/game/36756/mickeys-speedway-usa/?region=All,1,,/games/boxart/full_7824105AmericaFrontccc.jpg,0.6
3852,Ni no Kuni: Dominion of the Dark Djinn,ni-no-kuni-dominion-of-the-dark-djinn,Role-Playing,,DS,Level 5,Level 5/Studio Ghibli,,,,0.6,0.0,,,,,2010.0,11th Jan 19,http://www.vgchartz.com/game/33458/ni-no-kuni-dominion-of-the-dark-djinn/?region=All,1,,/games/boxart/full_ninokuni-shikkoku-no-madoushi_765JapanFront.jpg,0.6
3853,Phantasy Star Portable 2,phantasy-star-portable-2,Role-Playing,T,PSP,Sega,Alfa System,,7.4,,0.6,0.0,,,,,2010.0,,http://www.vgchartz.com/game/37096/phantasy-star-portable-2/?region=All,1,,/games/boxart/full_phantasy-star-portable-2_2AmericaFront.jpg,0.6
3854,Shogun 2: Total War,shogun-2-total-war,Strategy,T,PC,Sega,The Creative Assembly,,9.0,,0.6,0.0,,,,,2011.0,,http://www.vgchartz.com/game/45921/shogun-2-total-war/?region=All,1,,/games/boxart/full_shogun-2-total-war_763AmericaFront.jpg,0.6
3855,NHL 17,nhl-17,Sports,,XOne,EA Sports,EA Canada,,,,0.0,0.6,0.52,0.01,,0.06,2016.0,,http://www.vgchartz.com/game/117547/nhl-17/?region=All,1,,/games/boxart/full_3602419AmericaFrontccc.jpg,0.6
3856,NASCAR Heat 2002,nascar-heat-2002,Racing,E,PS2,Infogrames,Monster Games Inc.,,,,0.0,0.6,0.29,0.23,,0.08,2001.0,,http://www.vgchartz.com/game/31384/nascar-heat-2002/?region=All,1,,/games/boxart/full_2468924AmericaFrontccc.jpg,0.6
3857,Littlest Pet Shop: Garden,littlest-pet-shop-garden,Simulation,E,DS,Electronic Arts,EA Salt Lake,,,,0.0,0.6,0.31,0.23,,0.06,2008.0,,http://www.vgchartz.com/game/25391/littlest-pet-shop-garden/?region=All,1,,/games/boxart/2723603ccc.jpg,0.6
3858,Transformers: The Game,transformers-the-game,Action,T,X360,Activision,Traveller's Tales,,5.2,,0.0,0.6,0.51,0.04,,0.05,2007.0,,http://www.vgchartz.com/game/6850/transformers-the-game/?region=All,1,,/games/boxart/6835355ccc.jpg,0.6
3859,From TV Animation One Piece: Grand Battle 2,from-tv-animation-one-piece-grand-battle-2,Fighting,,PS,Bandai,Bandai,,,,0.0,0.6,,,0.56,0.04,2002.0,,http://www.vgchartz.com/game/3356/from-tv-animation-one-piece-grand-battle-2/?region=All,1,,/games/boxart/full_1897913JapanFrontccc.jpg,0.6
3860,BeatMania Append 3rdMix,beatmania-append-3rdmix,Simulation,,PS,Konami,Konami,,,,0.0,0.6,,,0.56,0.04,1998.0,,http://www.vgchartz.com/game/2900/beatmania-append-3rdmix/?region=All,1,,/games/boxart/full_beatmania-append-3rdmix_1JapanFront.jpg,0.6
3861,Disney TH!NK Fast: The Ultimate Trivia Showdown,disney-thnk-fast-the-ultimate-trivia-showdown,Misc,E,Wii,Disney Interactive Studios,Magenta Software,,,,0.0,0.6,0.37,0.16,0.01,0.06,2008.0,,http://www.vgchartz.com/game/26087/disney-thnk-fast-the-ultimate-trivia-showdown/?region=All,1,,/games/boxart/full_8659765AmericaFrontccc.jpg,0.6
3862,Game of Thrones: A Telltale Games Series,game-of-thrones-a-telltale-games-series,Adventure,M,PC,Telltale Games,Telltale Games,,,,0.6,0.0,,,,,2014.0,04th Jan 19,http://www.vgchartz.com/game/84857/game-of-thrones-a-telltale-games-series/?region=All,1,,/games/boxart/full_7527819AmericaFrontccc.jpg,0.6
3863,New Play Control! Donkey Kong Jungle Beat,new-play-control-donkey-kong-jungle-beat,Platform,E10,Wii,Nintendo,Nintendo EAD Tokyo,,,,0.0,0.6,0.23,0.17,0.14,0.05,2009.0,,http://www.vgchartz.com/game/27350/new-play-control-donkey-kong-jungle-beat/?region=All,1,,/games/boxart/full_1954882AmericaFrontccc.jpg,0.6
3864,Xena: Warrior Princess,xena-warrior-princess,Adventure,T,PS,Electronic Arts,VU Games,,,,0.0,0.6,0.33,0.23,,0.04,1999.0,,http://www.vgchartz.com/game/24340/xena-warrior-princess/?region=All,1,,/games/boxart/full_7775921AmericaFrontccc.jpg,0.6
3865,Just Dance 2016,just-dance-2016,Music,E10,WiiU,Ubisoft,Ubisoft Paris,,,,0.0,0.6,0.29,0.25,,0.05,2015.0,05th Apr 18,http://www.vgchartz.com/game/85742/just-dance-2016/?region=All,1,,/games/boxart/full_914385AmericaFrontccc.jpg,0.6
3866,Tales of Zesteria,tales-of-zesteria,Misc,,PS3,Namco Bandai Games,Unknown,,,,0.0,0.6,0.07,0.07,0.42,0.03,2015.0,,http://www.vgchartz.com/game/77727/tales-of-zesteria/?region=All,1,,/games/boxart/full_4002148AmericaFrontccc.jpg,0.6
